,Batch id, time, Longitude, Latitude, x, y, z,velocity,x_raw,y_raw,z_raw,label
154,73,2017-10-15 13:43:16.449,36.76376473,-1.29769764,0.007,0.003,0.011,0.419536387272,-0.329,-0.269242517924,0.171727553772,0.0
155,73,2017-10-15 13:43:16.552,36.76376473,-1.29769764,0.006,0.008,0.002,0.419536387272,0.289,0.554757482076,0.377727553772,0.0
156,73,2017-10-15 13:43:16.656,36.76376473,-1.29769764,-0.008,-0.012,-0.019,0.419536387272,-0.543,-0.693242517924,-1.59827244623,0.0
157,73,2017-10-15 13:43:16.759,36.76376473,-1.29769764,-0.002,-0.026,0.007,0.419536387272,-0.749,-3.37124251792,-0.877272446228,0.0
158,73,2017-10-15 13:43:16.864,36.76376473,-1.29769764,-0.003,0.008,0.005,0.419536387272,-1.064,-2.53124251792,-0.352272446228,0.0
159,73,2017-10-15 13:43:16.967,36.76376473,-1.29769764,-0.001,0.023,-0.007,0.419536387272,-1.167,-0.162242517924,-1.07327244623,0.0
161,73,2017-10-15 13:43:17.070,36.76376204,-1.29770733,-0.003,0.006,-0.001,1.10494641816,-1.476,0.455757482076,-1.17627244623,0.0
162,73,2017-10-15 13:43:17.174,36.76376204,-1.29770733,0.006,0.002,-0.009,1.10494641816,-0.852,0.663757482076,-2.11227244623,0.0
163,73,2017-10-15 13:43:17.280,36.76376204,-1.29770733,0.004,0.011,0.013,1.10494641816,-0.428,1.82975748208,-0.734272446228,0.0
164,73,2017-10-15 13:43:17.382,36.76376204,-1.29770733,0.004,-0.005,0.004,1.10494641816,-0.02,1.31975748208,-0.326272446228,0.0
165,73,2017-10-15 13:43:17.485,36.76376204,-1.29770733,0.002,-0.004,-0.008,1.10494641816,0.186,0.907757482076,-1.15027244623,0.0
166,73,2017-10-15 13:43:17.590,36.76376204,-1.29770733,-0.001,-0.01,0.009,1.10494641816,0.081,-0.142242517924,-0.205272446228,0.0
167,73,2017-10-15 13:43:17.695,36.76376204,-1.29770733,-0.007,-0.014,-0.006,1.10494641816,-0.654,-1.61224251792,-0.835272446228,0.0
168,73,2017-10-15 13:43:17.797,36.76376204,-1.29770733,-0.004,0.005,0.007,1.10494641816,-1.062,-1.10224251792,-0.121272446228,0.0
169,73,2017-10-15 13:43:17.901,36.76376204,-1.29770733,0.004,0.006,-0.009,1.10494641816,-0.646,-0.478242517924,-1.05727244623,0.0
171,73,2017-10-15 13:43:18.007,36.76375909,-1.29771754,0.007,0.002,-0.001,1.19365213023,0.096,-0.266242517924,-1.16327244623,0.0
172,73,2017-10-15 13:43:18.109,36.76375909,-1.29771754,-0.001,-0.013,0.01,1.19365213023,-0.006,-1.59224251792,-0.143272446228,0.0
173,73,2017-10-15 13:43:18.212,36.76375909,-1.29771754,0.004,-0.007,0.016,1.19365213023,0.406,-2.31324251792,1.50472755377,0.0
174,73,2017-10-15 13:43:18.316,36.76375909,-1.29771754,-0.005,0.008,-0.015,1.19365213023,-0.114,-1.48124251792,-0.0552724462277,0.0
175,73,2017-10-15 13:43:18.420,36.76375909,-1.29771754,-0.002,0.012,0.005,1.19365213023,-0.322,-0.233242517924,0.464727553772,0.0
176,73,2017-10-15 13:43:18.524,36.76375909,-1.29771754,-0.004,0.007,0.006,1.19365213023,-0.738,0.494757482076,1.08872755377,0.0
